Sembol,Tarih,Fiyat (Son),Sinyal,Skor (Al),Skor (Sat),Elmas Formasyonu,AlphaTrend,MA,MACD,MACD_Signal,MACD_Positive,RSI,ADX,OBV_Diff,BB_Low,BB_Mavg,BB_High,BB_W,EMA20_gt_EMA50_gt_EMA200,Dipten Uzaklık (%),ATH'ye Uzaklık (%),ATH Breakout,ATH Dip Potansiyeli,Cup&Handle Formasyonu,Bull Flag Formasyonu,TOBO Formasyonu,Gelişmiş TOBO,EW_WaveType_1d,EW_CurrentWave_1d,EW_Phase_1d,EW_LastPivotTime_1d,EW_LastPivotPrice_1d,EW_WaveType_4h,EW_CurrentWave_4h,EW_Phase_4h,EW_LastPivotTime_4h,EW_LastPivotPrice_4h,EW_Direction_1d,EW_AsOf_1d,EW_Direction_4h,EW_AsOf_4h,EMA5_137 Sinyal,EMA5_137 Sinyal_Numeric,EMA3_199 Sinyal,EMA3_199 Sinyal_Numeric,EMA3_200 Sinyal,EMA3_200 Sinyal_Numeric,SMA5_137_15m_Sinyal,SMA5_137_15m_Sinyal_Numeric,SMA5_137_15m_Sinyal_Filt,SMA5_137_15m_Sinyal_Filt_Numeric,SMA5_137_15m_CrossTime,SMA5_137_15m_BarsSinceCross,SMA5_137_1h_Sinyal,SMA5_137_1h_Sinyal_Numeric,SMA5_137_1h_Sinyal_Filt,SMA5_137_1h_Sinyal_Filt_Numeric,SMA5_137_1h_CrossTime,SMA5_137_1h_BarsSinceCross,SMA5_137_4h_Sinyal,SMA5_137_4h_Sinyal_Numeric,SMA5_137_4h_Sinyal_Filt,SMA5_137_4h_Sinyal_Filt_Numeric,SMA5_137_4h_CrossTime,SMA5_137_4h_BarsSinceCross,SMA5_137_1d_Sinyal,SMA5_137_1d_Sinyal_Numeric,SMA5_137_1d_Sinyal_Filt,SMA5_137_1d_Sinyal_Filt_Numeric,SMA5_137_1d_CrossTime,SMA5_137_1d_BarsSinceCross,CandleGoldenCross_Over,Confirmed_BUY,Confirmed_SELL,CandleGoldenCross_Over_Confirmed_BUY,Confirmed_SELL_CandleCrossUnder,STOP Fiyat,TP Fiyat,Haftalık Değişim (%),Aylık Değişim (%),Ortalama Hacim (TL),F/K,PD/DD,Yorumlar,PUANLAMA_V4,TP Oran (%),Sinyal_Sort,VolumeDeltaUp_Sort,Formasyon_Sort,FormasyonTazeKirilim,BONUS_SCORE,DipSkor,ATHSkor,OBVSkor,TazeSkor,FinalSkorEx,__FDTT_NET_TL,__FDTT_ADV7_TL,KURUM_FDTT_SINYAL,__AKD_1D_NET_TL_NORM_ND,__AKD_3D_NET_TL_NORM_ND,KURUM_AKD_SINYAL,__AKD_PUAN,__FDTT_PUAN,__KURUM_PUAN,AL_VETO_SHOCK,__TURNOVER_1D,__TURNOVER_3D,__FF_MCAP,AKD_NOTE,GUNLUK_FARK,__FDTT_NET_PP,__FDTT_NET_TL_NORM,__AKD_RECENCY_COMBO,KURUM_AKD_SKOR,FinalSkorPlus,HisseBazli_Pattern_Skoru,HisseBazli_Beklenen_5g,HisseBazli_Beklenen_15g,HisseBazli_Ref_Tarih,HisseBazli_Ref_Max_5g,HisseBazli_Ref_Max_15g,Global_Beklenen_5g,Global_Beklenen_15g,Global_Combo_Skor_5g,Global_Combo_Skor_15g,Son_Gun_%,Son_5Gun_%,Beklenen_5g_Toplam,Beklenen_15g_Toplam,Ana_Beklenen,Kaynak_HisseBazli,Kaynak_Global,Teknik_Skor_Basit
ERCB,2025-12-16,73.45,-50,0,4,0,81.01,76.39,-1.35,-0.61,0,44.97,29.31,-3144761.0,65.28,79.88,94.48,36.56,0,12.65,29.38,0,100,1,0,0,0,ImpulseDown,4,Orta,2025-11-14 00:00,65.7,ImpulseUp,3,Yükseliş Başlangıcı,2025-12-11 08:00,72.7,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 08:45,24,-,0,SAT,-50,2025-12-01 12:30,101.0,-,0,SAT,-50,2025-12-09 08:00,16.0,-,0,SAT,-50,2025-12-04 00:00,8.0,0,0,0,0,0,64.72,82.18,0.34,4.26,640441646,0.0,3.24,"ATR Oranı düşük (7.92%) | Gelişmiş Cup & Handle | ATR STOP: 64.72, TP: 82.18 | 1H:%0.34 | 1A:%4.26",5,11.89,0,0,1,0,0,-12.65,-29.38,-3144761.0,0,3.77,2974274959.39,618716639.86,1.0,-0.14,-0.01,0.0,-4.0,3.0,-1.0,1.0,0.1,0.59,2342828406.75,AKD/Taban veto,-1.48,126.95,4.81,-0.1,-85.0,-81.23,0.83,36.41,36.41,2025-11-17,36.41,36.41,,,,,0.0,0.62,36.41,36.41,36.41,1,0,4.14
ADEL,2025-12-16,31.36,-50,0,4,0,32.0,31.63,-0.1,0.04,0,48.04,29.64,758780.0,29.25,32.24,35.24,18.59,0,21.52,23.8,0,100,1,0,0,0,ImpulseUp,4,Orta,2025-11-25 00:00,37.98,ImpulseDown,3,Orta,2025-12-10 04:00,31.76,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-16 12:45,8,-,0,SAT,-50,2025-12-04 08:30,78.0,-,0,AL,50,2025-12-11 12:00,9.0,-,0,SAT,-50,2025-12-09 00:00,5.0,0,0,0,0,0,29.46,33.26,1.36,4.53,81664920,0.0,5.67,"ATR Oranı düşük (4.04%) | Gelişmiş Cup & Handle | ATR STOP: 29.46, TP: 33.26 | 1H:%1.36 | 1A:%4.53",5,6.06,0,0,1,0,0,-21.52,-23.8,758780.0,0,-0.66,-221348588.88,30970550.43,0.0,0.04,0.01,0.0,0.0,-3.0,-1.0,0.0,0.01,0.04,2249661908.48,AKD nötr/negatif,0.19,-9.84,-7.15,0.03,-10.0,-10.66,0.92,25.14,25.14,2025-11-16,25.14,25.14,,,,,0.0,-0.88,25.14,25.14,25.14,1,0,3.62
TSGYO,2025-12-16,7.26,0,0,0,0,7.49,7.38,-0.11,-0.11,1,44.41,20.04,-1932239.0,7.17,7.33,7.5,4.47,0,20.2,23.5,0,100,1,0,0,0,ImpulseDown,2,Başlangıç,2025-10-17 00:00,7.1,ImpulseDown,3,Orta,2025-12-10 08:00,7.4,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 13:30,5,-,0,SAT,-50,2025-11-11 13:30,226.0,-,0,SAT,-50,2025-11-12 08:00,73.0,-,0,SAT,-50,2025-12-03 00:00,9.0,0,0,1,0,0,6.9,7.62,0.0,-7.16,27830603,0.0,0.8,"ATR Oranı düşük (3.33%) | Gelişmiş Cup & Handle | ATR STOP: 6.9, TP: 7.62 | 1H:%0.0 | 1A:%-7.16 | Confirmed SELL (alphaTrend teyidi)",2,4.96,0,0,1,0,0,-20.2,-23.5,-1932239.0,0,-13.92,-86979810.44,20508897.71,0.0,0.04,-0.01,0.0,0.0,-3.0,-1.0,0.0,0.03,0.08,537201565.56,AKD nötr/negatif,-0.27,-16.19,-4.24,0.03,-12.0,-25.92,0.83,25.36,25.36,2025-10-26,25.36,25.36,,,,,0.0,-0.27,25.36,25.36,25.36,1,0,1.74
PRKAB,2025-12-16,31.54,-50,0,4,0,33.69,33.54,-1.1,-1.02,0,36.24,11.61,-597724.0,29.99,33.68,37.38,21.95,0,25.66,27.66,0,100,1,0,1,0,ImpulseDown,4,Yükseliş Başlangıcı,2025-10-21 00:00,30.04,ImpulseDown,3,Düşüş Başlangıcı,2025-12-05 04:00,34.3,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-12 08:45,90,-,0,SAT,-50,2025-11-19 11:30,174.0,-,0,SAT,-50,2025-11-26 08:00,43.0,-,0,SAT,-50,2025-12-08 00:00,6.0,0,0,1,0,0,29.26,33.82,-3.61,-21.54,24722884,0.0,8.04,"ATR Oranı düşük (4.82%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 29.26, TP: 33.82 | 1H:%-3.61 | 1A:%-21.54 | Confirmed SELL (alphaTrend teyidi)",2,7.23,0,0,1,0,0,-25.66,-27.66,-597724.0,0,-18.85,-9244471.58,20439819.43,0.0,-0.02,-0.04,0.0,0.0,-1.0,0.0,0.0,0.02,0.05,1105861409.52,AKD nötr/negatif,-1.13,-0.84,-0.45,-0.03,0.0,-18.85,0.92,26.48,28.27,2025-10-20,26.48,28.27,,,,,0.0,-4.42,26.48,28.27,28.27,1,0,0.41
AKENR,2025-12-16,12.2,0,0,0,0,11.51,11.37,0.22,0.08,1,61.01,37.64,-35681623.0,10.05,11.54,13.03,25.82,0,37.85,15.16,0,0,0,0,0,0,ImpulseUp,2,Düşüş Başlangıcı,2025-11-05 00:00,12.24,ImpulseDown,4,Başlangıç,2025-12-11 08:00,10.48,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-11 13:45,103,-,0,AL,50,2025-12-12 07:30,25.0,-,0,AL,50,2025-12-12 04:00,8.0,-,0,AL,50,2025-12-15 00:00,1.0,0,1,0,0,0,11.11,13.29,15.42,10.41,353253973,0.0,0.55,"ATR Oranı düşük (5.97%) | ATR STOP: 11.11, TP: 13.29 | 1H:%15.42 | 1A:%10.41 | Confirmed BUY (alphaTrend teyidi)",5,8.93,0,0,0,0,0,-37.85,-15.16,-35681623.0,0,-20.42,-19748680.43,264947220.71,0.0,0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.19,0.83,2246664123.4,AKD nötr/negatif,-0.81,-0.88,-0.07,0.01,16.0,-4.42,0.67,28.18,28.18,2025-11-09,28.18,28.18,,,,,0.0,8.93,28.18,28.18,28.18,1,0,1.31
SILVR,2025-12-16,2.65,-50,0,4,0,2.83,2.78,-0.06,-0.05,0,36.22,11.23,2018091.0,2.65,2.79,2.92,9.83,0,36.23,22.51,0,100,0,0,0,0,ImpulseDown,5,Düşüş Başlangıcı,2025-12-01 00:00,3.01,ImpulseDown,3,Düşüş Başlangıcı,2025-12-08 08:00,2.87,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,SAT,-50,SAT,-50,-,0,SAT,-50,2025-12-10 12:30,141,-,0,SAT,-50,2025-12-09 07:30,52.0,-,0,SAT,-50,2025-11-11 12:00,75.0,-,0,AL,50,2025-07-23 00:00,104.0,0,0,1,0,0,2.45,2.85,-3.28,-5.36,7453344,0.0,0.57,"ATR Oranı düşük (4.91%) | ATR STOP: 2.45, TP: 2.85 | 1H:%-3.28 | 1A:%-5.36 | Confirmed SELL (alphaTrend teyidi)",1,7.55,0,0,0,0,0,-36.23,-22.51,2018091.0,0,-30.56,1114362601.43,8245546.0,1.0,-0.05,-0.07,0.0,-2.0,3.0,0.0,0.0,0.01,0.05,529142645.5,AKD nötr/negatif,0.0,210.6,135.15,-0.06,12.0,-18.56,0.75,25.27,25.27,2025-10-02,25.27,25.27,,,,,0.0,-3.64,25.27,25.27,25.27,1,0,-0.7
FONET,2025-12-16,2.85,50,4,0,0,2.88,2.82,-0.0,-0.03,1,51.9,20.7,-21572817.0,2.67,2.8,2.92,9.03,1,49.27,12.31,0,0,1,1,0,0,ImpulseDown,5,Orta,2025-12-11 00:00,2.99,ImpulseUp,3,Yükseliş Başlangıcı,2025-12-12 12:00,2.83,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 08:45,24,-,0,AL,50,2025-12-10 09:30,41.0,-,0,SAT,-50,2025-11-25 12:00,45.0,-,0,AL,50,2025-07-22 00:00,105.0,0,0,0,0,0,2.67,3.03,2.52,-2.06,99409253,19.0,1.76,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.1%) | Gelişmiş Cup & Handle | Gelişmiş Bull Flag | ATR STOP: 2.67, TP: 3.03 | 1H:%2.52 | 1A:%-2.06",5,6.32,2,0,1,0,0,-49.27,-12.31,-21572817.0,0,-31.03,3327079756.13,70771405.14,1.0,0.02,-0.02,0.0,0.0,3.0,1.0,0.0,0.04,0.16,1643859693.75,AKD nötr/negatif,-1.38,202.39,47.01,0.01,16.0,-15.03,0.75,30.15,30.15,2025-10-07,30.15,30.15,,,,,0.0,-1.04,30.15,30.15,30.15,1,0,1.6
SEGYO,2025-12-16,5.36,-50,0,4,0,5.71,5.59,-0.06,0.03,0,44.9,12.66,14683216.0,5.04,5.76,6.47,24.84,1,46.85,17.92,0,0,1,0,0,0,ImpulseDown,4,Başlangıç,2025-10-17 00:00,4.07,ImpulseDown,3,Düşüş Başlangıcı,2025-12-04 04:00,6.07,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-16 14:30,1,-,0,SAT,-50,2025-11-27 14:30,117.0,-,0,SAT,-50,2025-12-15 12:00,3.0,-,0,AL,50,2025-10-23 00:00,38.0,0,0,0,0,0,4.79,5.93,-0.56,-12.56,160129868,0.0,0.62,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (7.05%) | Gelişmiş Cup & Handle | ATR STOP: 4.79, TP: 5.93 | 1H:%-0.56 | 1A:%-12.56",3,10.63,0,0,1,0,0,-46.85,-17.92,14683216.0,0,-31.03,-69363620.03,71510529.71,0.0,0.0,0.01,0.0,0.0,-2.0,-1.0,0.0,0.07,0.16,1088208741.84,AKD nötr/negatif,0.75,-6.37,-0.97,0.0,-9.0,-40.03,0.67,0.46,40.6,2025-10-09,0.46,40.6,,,,,0.0,-0.56,0.46,40.6,40.6,1,0,0.93
PAPIL,2025-12-16,18.2,100,3,0,0,16.89,16.5,0.35,-0.06,1,67.21,35.3,31780095.0,14.33,16.13,17.92,22.32,0,55.56,57.01,0,100,0,0,0,0,ImpulseDown,4,Orta,2025-10-17 00:00,15.01,ImpulseUp,2,Düşüş Başlangıcı,2025-12-05 08:00,15.85,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-09 07:45,193,-,0,AL,50,2025-12-10 10:30,40.0,-,0,AL,50,2025-12-11 08:00,10.0,-,0,SAT,-50,2025-08-05 00:00,95.0,0,0,0,0,0,16.92,19.48,12.69,14.54,276723405,0.0,7.33,"ATR Oranı düşük (4.69%) | ATR STOP: 16.92, TP: 19.48 | 1H:%12.69 | 1A:%14.54 | Volume Delta pozitif",6,7.03,1,1,0,0,0,-55.56,-57.01,31780095.0,0,-35.31,2075593704.98,351115923.43,1.0,0.0,-0.01,0.0,0.0,3.0,1.0,0.0,0.15,0.69,3747858878.4,AKD nötr/negatif,2.42,55.38,5.91,0.0,29.0,-6.31,0.75,25.71,25.71,2025-10-21,25.71,25.71,,,,,0.0,7.0,25.71,25.71,25.71,1,0,0.65
VAKFN,2025-12-16,1.97,-50,0,4,0,2.04,2.01,-0.03,-0.02,0,44.18,19.17,-36953177.0,1.79,2.04,2.3,25.12,1,49.7,20.24,0,100,1,1,0,0,ImpulseUp,4,Orta,2025-11-20 00:00,2.54,ImpulseDown,3,Orta,2025-12-09 04:00,2.02,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-12 13:45,70,-,0,SAT,-50,2025-12-16 09:30,5.0,-,0,SAT,-50,2025-12-04 12:00,24.0,-,0,-,0,,,0,0,0,0,0,1.86,2.08,1.03,-15.81,257096709,14.07,1.49,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (3.87%) | Gelişmiş Cup & Handle | Gelişmiş Bull Flag | ATR STOP: 1.86, TP: 2.08 | 1H:%1.03 | 1A:%-15.81",4,5.58,0,0,1,0,0,-49.7,-20.24,-36953177.0,0,-37.35,2971763045.84,172460209.57,1.0,-0.07,0.01,0.0,-2.0,3.0,0.0,0.0,0.02,0.22,3590316044.38,AKD nötr/negatif,-1.5,82.77,17.23,-0.05,13.0,-24.35,0.67,6.82,40.34,2025-10-18,6.82,40.34,,,,,0.0,1.03,6.82,40.34,40.34,1,0,0.84
BRSAN,2025-12-16,495.0,50,4,0,0,481.2,486.56,9.87,8.86,1,54.89,34.55,-761331.0,441.16,481.3,521.44,16.68,1,65.97,8.16,0,0,1,0,0,0,ImpulseUp,2,Düşüş Başlangıcı,2025-09-22 00:00,480.0,ImpulseDown,4,Orta,2025-12-10 12:00,487.0,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 08:30,25,-,0,AL,50,2025-12-02 08:30,96.0,-,0,AL,50,2025-12-01 04:00,35.0,-,0,AL,50,2025-08-06 00:00,94.0,0,1,0,0,0,465.43,524.57,0.76,3.02,679732626,70.51,1.9,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (3.98%) | Gelişmiş Cup & Handle | ATR STOP: 465.43, TP: 524.57 | 1H:%0.76 | 1A:%3.02 | Confirmed BUY (alphaTrend teyidi)",6,5.97,2,0,1,0,0,-65.97,-8.16,-761331.0,0,-39.5,2508646693.86,825021911.43,1.0,0.01,0.01,0.0,0.0,3.0,1.0,0.0,0.03,0.1,13100945715.0,AKD nötr/negatif,-1.98,19.15,3.04,0.01,22.0,-17.5,0.67,25.95,25.95,2025-10-29,25.95,25.95,,,,,0.0,-0.15,25.95,25.95,25.95,1,0,1.37
